feature,importance_gain,importance_pct
active_percentage_promo_count,2.797790765762329,29.12
max_active_discount_value,2.3145956993103027,24.09
avg_active_discount_value,1.9339169263839722,20.13
month,0.7192343473434448,7.49
year,0.546696126461029,5.69
month_cos,0.26431772112846375,2.75
month_sin,0.18823011219501495,1.96
doy_sin,0.138369619846344,1.44
day_of_year,0.13769538700580597,1.43
discount_sum,0.09638427942991257,1.0
years_since_start,0.08583895862102509,0.89
week_of_year,0.06766611337661743,0.7
avg_discount_per_order,0.058875154703855515,0.61
doy_cos,0.03448944911360741,0.36
bounce_rate,0.02951161190867424,0.31
sessions,0.021392375230789185,0.22
page_views,0.01824500970542431,0.19
avg_session_duration_sec,0.016922729089856148,0.18
Revenue_seasonal,0.015895729884505272,0.17
delivered_order_count,0.01524118147790432,0.16
quantity_sum,0.011835440993309021,0.12
unique_visitors,0.011149122379720211,0.12
order_count,0.010885403491556644,0.11
paid_search_order_share,0.009465026669204235,0.1
mobile_order_share,0.008979679085314274,0.09
COGS_seasonal,0.008823822252452374,0.09
gross_item_value,0.008635171689093113,0.09
returned_order_count,0.008484185673296452,0.09
day_of_week,0.00771389389410615,0.08
cancelled_order_count,0.007537662051618099,0.08
unique_customer_count,0.00672831991687417,0.07
dow_sin,0.0048917136155068874,0.05
dow_cos,0.0013871476985514164,0.01
