feature,importance_gain,importance_pct
years_since_start,73660501065728.0,15.66
unique_customer_count,65971595247616.0,14.03
year,54934007447552.0,11.68
gross_item_value,48417912913920.0,10.3
avg_active_discount_value,34556912599040.0,7.35
doy_cos,33457296113664.0,7.11
quantity_sum,33065663463424.0,7.03
Revenue_seasonal,25667051716608.0,5.46
COGS_seasonal,23910330400768.0,5.08
delivered_order_count,22855722991616.0,4.86
order_count,7691995971584.0,1.64
month_sin,7447273537536.0,1.58
dow_sin,7012389224448.0,1.49
day_of_week,6619070988288.0,1.41
unique_visitors,4052897759232.0,0.86
avg_discount_per_order,4020008386560.0,0.85
doy_sin,3450073776128.0,0.73
returned_order_count,3290200276992.0,0.7
cancelled_order_count,2690006908928.0,0.57
discount_sum,1961977315328.0,0.42
active_percentage_promo_count,1667212771328.0,0.35
dow_cos,1117143433216.0,0.24
page_views,1088172654592.0,0.23
bounce_rate,958124195840.0,0.2
paid_search_order_share,409462374400.0,0.09
month_cos,188826648576.0,0.04
avg_session_duration_sec,111421685760.0,0.02
