scenario,fold,valid_days,scenario_weight,valid_start,valid_end,candidate,feature_group,ratio_variant,clip_name,revenue_weight,ratio_weight,Revenue_mae,Revenue_mape,COGS_mae,COGS_mape,avg_mape,avg_mae
90d_3fold,1,90,0.1,2022-04-06,2022-07-04,ratio_all_base_wide_rw1.15_cw0.95,all,base,wide,1.15,0.95,167636.42522222223,4.24851536275233,129427.00677777783,3.9557632073388542,4.102139285045592,148531.71600000001
90d_3fold,1,90,0.1,2022-04-06,2022-07-04,ratio_all_base_wide_rw1.15_cw1.00,all,base,wide,1.15,1.0,167636.42522222223,4.24851536275233,128163.63455555557,3.9129130853589227,4.080714224055626,147900.0298888889
90d_3fold,1,90,0.1,2022-04-06,2022-07-04,ratio_all_base_wide_rw1.15_cw1.05,all,base,wide,1.15,1.05,167636.42522222223,4.24851536275233,127015.83866666668,3.8731104254088446,4.060812894080588,147326.13194444444
90d_3fold,1,90,0.1,2022-04-06,2022-07-04,ratio_all_base_wide_rw1.15_cw1.10,all,base,wide,1.15,1.1,167636.42522222223,4.24851536275233,126170.89488888891,3.842902640942537,4.045709001847433,146903.66005555558
90d_3fold,1,90,0.1,2022-04-06,2022-07-04,ratio_all_base_wide_rw1.15_cw1.15,all,base,wide,1.15,1.15,167636.42522222223,4.24851536275233,125407.5078888889,3.8155523837233964,4.032033873237863,146521.96655555555
90d_3fold,1,90,0.1,2022-04-06,2022-07-04,ratio_all_base_wide_rw1.15_cw1.20,all,base,wide,1.15,1.2,167636.42522222223,4.24851536275233,124686.68800000004,3.7892157066229566,4.018865534687643,146161.55661111113
90d_3fold,1,90,0.1,2022-04-06,2022-07-04,ratio_all_base_wide_rw1.15_cw1.25,all,base,wide,1.15,1.25,167636.42522222223,4.24851536275233,124150.44744444446,3.7673140744332207,4.007914718592775,145893.43633333335
90d_3fold,1,90,0.1,2022-04-06,2022-07-04,ratio_all_base_wide_rw1.15_cw1.30,all,base,wide,1.15,1.3,167636.42522222223,4.24851536275233,123619.04466666668,3.7455390739824503,3.99702721836739,145627.73494444444
90d_3fold,1,90,0.1,2022-04-06,2022-07-04,ratio_all_base_wide_rw1.20_cw0.95,all,base,wide,1.2,0.95,184102.9701111111,4.581436278008131,138550.18477777776,4.168550128849802,4.374993203428966,161326.5774444444
90d_3fold,1,90,0.1,2022-04-06,2022-07-04,ratio_all_base_wide_rw1.20_cw1.00,all,base,wide,1.2,1.0,184102.9701111111,4.581436278008131,136084.93122222228,4.098116675845403,4.339776476926767,160093.95066666667
90d_3fold,1,90,0.1,2022-04-06,2022-07-04,ratio_all_base_wide_rw1.20_cw1.05,all,base,wide,1.2,1.05,184102.9701111111,4.581436278008131,133726.81799999997,4.030769903088813,4.306103090548472,158914.89405555552
90d_3fold,1,90,0.1,2022-04-06,2022-07-04,ratio_all_base_wide_rw1.20_cw1.10,all,base,wide,1.2,1.1,184102.9701111111,4.581436278008131,131898.07166666668,3.9742147645847625,4.277825521296447,158000.5208888889
90d_3fold,1,90,0.1,2022-04-06,2022-07-04,ratio_all_base_wide_rw1.20_cw1.15,all,base,wide,1.2,1.15,184102.9701111111,4.581436278008131,130365.40166666672,3.926580960154444,4.254008619081287,157234.1858888889
90d_3fold,1,90,0.1,2022-04-06,2022-07-04,ratio_all_base_wide_rw1.20_cw1.20,all,base,wide,1.2,1.2,184102.9701111111,4.581436278008131,128952.8111111111,3.8830984106078077,4.232267344307969,156527.8906111111
90d_3fold,1,90,0.1,2022-04-06,2022-07-04,ratio_all_base_wide_rw1.20_cw1.25,all,base,wide,1.2,1.25,184102.9701111111,4.581436278008131,127615.04900000003,3.84206515123581,4.211750714621971,155859.00955555556
90d_3fold,1,90,0.1,2022-04-06,2022-07-04,ratio_all_base_wide_rw1.20_cw1.30,all,base,wide,1.2,1.3,184102.9701111111,4.581436278008131,126321.05955555556,3.802068819846259,4.191752548927195,155212.01483333332
90d_3fold,1,90,0.1,2022-04-06,2022-07-04,ratio_all_base_wide_rw1.25_cw0.95,all,base,wide,1.25,0.95,203548.2432222222,4.969903117313006,152999.60233333334,4.523295068075899,4.746599092694453,178273.92277777777
