candidate,feature_group,ratio_variant,clip_name,revenue_weight,ratio_weight,Revenue_mae,Revenue_mape,COGS_mae,COGS_mape,avg_mae,avg_mape,weighted_avg_mape,scenario_weight_total,scenarios_covered,folds_evaluated
ratio_all_base_business_rw1.30_cw1.20,all,base,business,1.3,1.2,146680.28370565793,6.255439574885558,156758.8518496595,7.15074185329695,151719.5677776587,6.703090714091253,7.8170500619771035,1.0,4,8
ratio_all_base_wide_rw1.30_cw1.20,all,base,wide,1.3,1.2,146680.28370565793,6.255439574885558,156758.8518496595,7.15074185329695,151719.5677776587,6.703090714091253,7.8170500619771035,1.0,4,8
ratio_all_base_business_rw1.30_cw1.15,all,base,business,1.3,1.15,146680.28370565793,6.255439574885558,156795.1345613647,7.158848501368188,151737.7091335113,6.707144038126873,7.818991745306791,1.0,4,8
ratio_all_base_wide_rw1.30_cw1.15,all,base,wide,1.3,1.15,146680.28370565793,6.255439574885558,156795.1345613647,7.158848501368188,151737.7091335113,6.707144038126873,7.818991745306791,1.0,4,8
ratio_all_base_business_rw1.30_cw1.25,all,base,business,1.3,1.25,146680.28370565793,6.255439574885558,157503.55102696535,7.166013822611462,152091.91736631165,6.71072669874851,7.821360845397264,1.0,4,8
ratio_all_base_wide_rw1.30_cw1.25,all,base,wide,1.3,1.25,146680.28370565793,6.255439574885558,157503.55102696535,7.166013822611462,152091.91736631165,6.71072669874851,7.821360845397264,1.0,4,8
ratio_all_base_business_rw1.30_cw1.10,all,base,business,1.3,1.1,146680.28370565793,6.255439574885558,157854.45355965305,7.191670766913013,152267.36863265547,6.723555170899285,7.827442746477537,1.0,4,8
ratio_all_base_wide_rw1.30_cw1.10,all,base,wide,1.3,1.1,146680.28370565793,6.255439574885558,157854.45355965305,7.191670766913013,152267.36863265547,6.723555170899285,7.827442746477537,1.0,4,8
ratio_all_base_business_rw1.30_cw1.30,all,base,business,1.3,1.3,146680.28370565793,6.255439574885558,159004.55133114677,7.2104950705817,152842.41751840233,6.732967322733629,7.832625921809531,1.0,4,8
ratio_all_base_wide_rw1.30_cw1.30,all,base,wide,1.3,1.3,146680.28370565793,6.255439574885558,159004.55133114677,7.2104950705817,152842.41751840233,6.732967322733629,7.832625921809531,1.0,4,8
ratio_all_flex_business_rw1.30_cw1.15,all,flex,business,1.3,1.15,146680.28370565793,6.255439574885558,156991.2895341938,7.169818252862846,151835.78661992587,6.712628913874202,7.840617233576483,1.0,4,8
ratio_all_flex_wide_rw1.30_cw1.15,all,flex,wide,1.3,1.15,146680.28370565793,6.255439574885558,156991.2895341938,7.169818252862846,151835.78661992587,6.712628913874202,7.840617233576483,1.0,4,8
ratio_all_base_business_rw1.25_cw1.15,all,base,business,1.25,1.15,145560.3488750278,6.254733388008897,154882.6618313266,7.120281557528928,150221.5053531772,6.687507472768912,7.841677730250716,1.0,4,8
ratio_all_base_wide_rw1.25_cw1.15,all,base,wide,1.25,1.15,145560.3488750278,6.254733388008897,154882.6618313266,7.120281557528928,150221.5053531772,6.687507472768912,7.841677730250716,1.0,4,8
ratio_all_base_business_rw1.30_cw1.05,all,base,business,1.3,1.05,146680.28370565793,6.255439574885558,159396.85092738227,7.240285266990159,153038.5673165201,6.747862420937858,7.841752346973815,1.0,4,8
ratio_all_base_wide_rw1.30_cw1.05,all,base,wide,1.3,1.05,146680.28370565793,6.255439574885558,159396.85092738227,7.240285266990159,153038.5673165201,6.747862420937858,7.841752346973815,1.0,4,8
ratio_all_flex_business_rw1.30_cw1.20,all,flex,business,1.3,1.2,146680.28370565793,6.255439574885558,157659.04206483797,7.183260040715291,152169.66288524793,6.719349807800425,7.843486645537686,1.0,4,8
ratio_all_flex_wide_rw1.30_cw1.20,all,flex,wide,1.3,1.2,146680.28370565793,6.255439574885558,157659.04206483797,7.183260040715291,152169.66288524793,6.719349807800425,7.843486645537686,1.0,4,8
ratio_all_flex_business_rw1.30_cw1.10,all,flex,business,1.3,1.1,146680.28370565793,6.255439574885558,156935.6023062645,7.177322678508618,151807.94300596122,6.7163811266970885,7.843497652866665,1.0,4,8
ratio_all_flex_wide_rw1.30_cw1.10,all,flex,wide,1.3,1.1,146680.28370565793,6.255439574885558,156935.6023062645,7.177322678508618,151807.94300596122,6.7163811266970885,7.843497652866665,1.0,4,8
ratio_all_base_business_rw1.25_cw1.20,all,base,business,1.25,1.2,145560.3488750278,6.254733388008897,155710.29285950572,7.1359908782545425,150635.32086726674,6.695362133131719,7.843549394420464,1.0,4,8
ratio_all_base_wide_rw1.25_cw1.20,all,base,wide,1.25,1.2,145560.3488750278,6.254733388008897,155710.29285950572,7.1359908782545425,150635.32086726674,6.695362133131719,7.843549394420464,1.0,4,8
ratio_all_base_business_rw1.25_cw1.10,all,base,business,1.25,1.1,145560.3488750278,6.254733388008897,154794.56117236888,7.124994989392965,150177.45502369833,6.6898641887009305,7.844511941851789,1.0,4,8
ratio_all_base_wide_rw1.25_cw1.10,all,base,wide,1.25,1.1,145560.3488750278,6.254733388008897,154794.56117236888,7.124994989392965,150177.45502369833,6.6898641887009305,7.844511941851789,1.0,4,8
ratio_all_base_business_rw1.25_cw1.25,all,base,business,1.25,1.25,145560.3488750278,6.254733388008897,156911.24934461137,7.165179109630781,151235.79910981958,6.7099562488198385,7.849255890614605,1.0,4,8
ratio_all_base_wide_rw1.25_cw1.25,all,base,wide,1.25,1.25,145560.3488750278,6.254733388008897,156911.24934461137,7.165179109630781,151235.79910981958,6.7099562488198385,7.849255890614605,1.0,4,8
ratio_all_flex_business_rw1.30_cw1.25,all,flex,business,1.3,1.25,146680.28370565793,6.255439574885558,159031.09576441938,7.225067482686885,152855.68973503867,6.740253528786222,7.852760404696445,1.0,4,8
ratio_all_flex_wide_rw1.30_cw1.25,all,flex,wide,1.3,1.25,146680.28370565793,6.255439574885558,159031.09576441938,7.225067482686885,152855.68973503867,6.740253528786222,7.852760404696445,1.0,4,8
ratio_all_flex_business_rw1.30_cw1.05,all,flex,business,1.3,1.05,146680.28370565793,6.255439574885558,157955.4924607692,7.211449509704776,152317.88808321356,6.7334445422951665,7.854302768263838,1.0,4,8
ratio_all_flex_wide_rw1.30_cw1.05,all,flex,wide,1.3,1.05,146680.28370565793,6.255439574885558,157955.4924607692,7.211449509704776,152317.88808321356,6.7334445422951665,7.854302768263838,1.0,4,8
ratio_all_base_business_rw1.25_cw1.05,all,base,business,1.25,1.05,145560.3488750278,6.254733388008897,156094.03911437953,7.164952897257841,150827.19399470364,6.7098431426333685,7.8563866654080154,1.0,4,8
ratio_all_base_wide_rw1.25_cw1.05,all,base,wide,1.25,1.05,145560.3488750278,6.254733388008897,156094.03911437953,7.164952897257841,150827.19399470364,6.7098431426333685,7.8563866654080154,1.0,4,8
ratio_all_base_business_rw1.25_cw1.30,all,base,business,1.25,1.3,145560.3488750278,6.254733388008897,158563.0890849054,7.214959137390986,152061.7189799666,6.734846262699941,7.860680303519352,1.0,4,8
ratio_all_base_wide_rw1.25_cw1.30,all,base,wide,1.25,1.3,145560.3488750278,6.254733388008897,158563.0890849054,7.214959137390986,152061.7189799666,6.734846262699941,7.860680303519352,1.0,4,8
ratio_all_base_business_rw1.30_cw1.00,all,base,business,1.3,1.0,146680.28370565793,6.255439574885558,161299.47586275748,7.302582209188001,153989.8797842077,6.779010892036779,7.861764024978512,1.0,4,8
ratio_all_base_wide_rw1.30_cw1.00,all,base,wide,1.3,1.0,146680.28370565793,6.255439574885558,161299.47586275748,7.302582209188001,153989.8797842077,6.779010892036779,7.861764024978512,1.0,4,8
ratio_all_flex_business_rw1.30_cw1.30,all,flex,business,1.3,1.3,146680.28370565793,6.255439574885558,160869.20432263438,7.281640787411275,153774.74401414616,6.768540181148417,7.866396967677393,1.0,4,8
ratio_all_flex_wide_rw1.30_cw1.30,all,flex,wide,1.3,1.3,146680.28370565793,6.255439574885558,160869.20432263438,7.281640787411275,153774.74401414616,6.768540181148417,7.866396967677393,1.0,4,8
ratio_all_flex_business_rw1.25_cw1.10,all,flex,business,1.25,1.1,145560.3488750278,6.254733388008897,155139.42421878435,7.139392355153424,150349.88654690608,6.697062871581161,7.867074876802397,1.0,4,8
ratio_all_flex_wide_rw1.25_cw1.10,all,flex,wide,1.25,1.1,145560.3488750278,6.254733388008897,155139.42421878435,7.139392355153424,150349.88654690608,6.697062871581161,7.867074876802397,1.0,4,8
ratio_all_flex_business_rw1.25_cw1.15,all,flex,business,1.25,1.15,145560.3488750278,6.254733388008897,155862.3177166346,7.153079747659575,150711.3332958312,6.703906567834236,7.868639007219106,1.0,4,8
ratio_all_flex_wide_rw1.25_cw1.15,all,flex,wide,1.25,1.15,145560.3488750278,6.254733388008897,155862.3177166346,7.153079747659575,150711.3332958312,6.703906567834236,7.868639007219106,1.0,4,8
ratio_all_flex_business_rw1.25_cw1.05,all,flex,business,1.25,1.05,145560.3488750278,6.254733388008897,155050.80731852786,7.145684104580794,150305.57809677784,6.700208746294845,7.870915890438619,1.0,4,8
ratio_all_flex_wide_rw1.25_cw1.05,all,flex,wide,1.25,1.05,145560.3488750278,6.254733388008897,155050.80731852786,7.145684104580794,150305.57809677784,6.700208746294845,7.870915890438619,1.0,4,8
ratio_all_flex_business_rw1.30_cw1.00,all,flex,business,1.3,1.0,146680.28370565793,6.255439574885558,159566.14191526055,7.2609662371109405,153123.21281045923,6.75820290599825,7.870994626027022,1.0,4,8
ratio_all_flex_wide_rw1.30_cw1.00,all,flex,wide,1.3,1.0,146680.28370565793,6.255439574885558,159566.14191526055,7.2609662371109405,153123.21281045923,6.75820290599825,7.870994626027022,1.0,4,8
ratio_all_base_business_rw1.25_cw1.00,all,base,business,1.25,1.0,145560.3488750278,6.254733388008897,157740.01358139326,7.218726714375318,151650.1812282105,6.736730051192108,7.873128594232336,1.0,4,8
ratio_all_base_wide_rw1.25_cw1.00,all,base,wide,1.25,1.0,145560.3488750278,6.254733388008897,157740.01358139326,7.218726714375318,151650.1812282105,6.736730051192108,7.873128594232336,1.0,4,8
ratio_all_flex_business_rw1.25_cw1.20,all,flex,business,1.25,1.2,145560.3488750278,6.254733388008897,156953.08129994362,7.180248279602824,151256.7150874857,6.7174908338058605,7.8738351429321565,1.0,4,8
ratio_all_flex_wide_rw1.25_cw1.20,all,flex,wide,1.25,1.2,145560.3488750278,6.254733388008897,156953.08129994362,7.180248279602824,151256.7150874857,6.7174908338058605,7.8738351429321565,1.0,4,8
ratio_all_flex_business_rw1.25_cw1.25,all,flex,business,1.25,1.25,145560.3488750278,6.254733388008897,158658.89862594573,7.231372906964051,152109.62375048676,6.743053147486474,7.883900014089754,1.0,4,8
ratio_all_flex_wide_rw1.25_cw1.25,all,flex,wide,1.25,1.25,145560.3488750278,6.254733388008897,158658.89862594573,7.231372906964051,152109.62375048676,6.743053147486474,7.883900014089754,1.0,4,8
ratio_all_flex_business_rw1.25_cw1.00,all,flex,business,1.25,1.0,145560.3488750278,6.254733388008897,156282.83643723477,7.186583331522757,150921.59265613128,6.720658359765827,7.884963856410386,1.0,4,8
ratio_all_flex_wide_rw1.25_cw1.00,all,flex,wide,1.25,1.0,145560.3488750278,6.254733388008897,156282.83643723477,7.186583331522757,150921.59265613128,6.720658359765827,7.884963856410386,1.0,4,8
ratio_all_base_business_rw1.30_cw0.95,all,base,business,1.3,0.95,146680.28370565793,6.255439574885558,163497.23861648695,7.375647306740222,155088.76116107244,6.81554344081289,7.887071021906305,1.0,4,8
ratio_all_base_wide_rw1.30_cw0.95,all,base,wide,1.3,0.95,146680.28370565793,6.255439574885558,163497.23861648695,7.375647306740222,155088.76116107244,6.81554344081289,7.887071021906305,1.0,4,8
ratio_all_base_business_rw1.35_cw1.20,all,base,business,1.35,1.2,151072.3224363536,6.34385825678167,161197.08261262972,7.278028619588831,156134.70252449164,6.810943438185251,7.887890468964297,1.0,4,8
ratio_all_base_wide_rw1.35_cw1.20,all,base,wide,1.35,1.2,151072.3224363536,6.34385825678167,161197.08261262972,7.278028619588831,156134.70252449164,6.810943438185251,7.887890468964297,1.0,4,8
