candidate,feature_group,ratio_variant,clip_name,revenue_weight,ratio_weight,Revenue_mae,Revenue_mape,COGS_mae,COGS_mape,avg_mae,avg_mape,weighted_avg_mape,scenario_weight_total,scenarios_covered,folds_evaluated
ratio_all_base_business_rw1.25_cw1.10,all,base,business,1.25,1.1,153419.78557291633,6.578235695028283,158088.03859412254,7.297813107551188,155753.91208351942,6.938024401289736,8.05824634475322,1.0,4,8
ratio_all_base_wide_rw1.25_cw1.10,all,base,wide,1.25,1.1,153419.78557291633,6.578235695028283,158088.03859412254,7.297813107551188,155753.91208351942,6.938024401289736,8.05824634475322,1.0,4,8
ratio_all_base_business_rw1.25_cw1.15,all,base,business,1.25,1.15,153419.78557291633,6.578235695028283,158872.43621793654,7.315555599887557,156146.11089542642,6.946895647457921,8.058771014485913,1.0,4,8
ratio_all_base_wide_rw1.25_cw1.15,all,base,wide,1.25,1.15,153419.78557291633,6.578235695028283,158872.43621793654,7.315555599887557,156146.11089542642,6.946895647457921,8.058771014485913,1.0,4,8
ratio_all_base_business_rw1.25_cw1.20,all,base,business,1.25,1.2,153419.78557291633,6.578235695028283,159851.41653998,7.34093146281007,156635.60105644818,6.959583578919177,8.061934765761277,1.0,4,8
ratio_all_base_wide_rw1.25_cw1.20,all,base,wide,1.25,1.2,153419.78557291633,6.578235695028283,159851.41653998,7.34093146281007,156635.60105644818,6.959583578919177,8.061934765761277,1.0,4,8
ratio_all_base_business_rw1.25_cw1.05,all,base,business,1.25,1.05,153419.78557291633,6.578235695028283,157789.04467547967,7.294286529364149,155604.415124198,6.936261112196216,8.06322279671486,1.0,4,8
ratio_all_base_wide_rw1.25_cw1.05,all,base,wide,1.25,1.05,153419.78557291633,6.578235695028283,157789.04467547967,7.294286529364149,155604.415124198,6.936261112196216,8.06322279671486,1.0,4,8
ratio_all_base_business_rw1.25_cw1.25,all,base,business,1.25,1.25,153419.78557291633,6.578235695028283,161045.8392718527,7.372087989549569,157232.8124223845,6.9751618422889266,8.068004326364546,1.0,4,8
ratio_all_base_wide_rw1.25_cw1.25,all,base,wide,1.25,1.25,153419.78557291633,6.578235695028283,161045.8392718527,7.372087989549569,157232.8124223845,6.9751618422889266,8.068004326364546,1.0,4,8
ratio_all_base_business_rw1.25_cw1.00,all,base,business,1.25,1.0,153419.78557291633,6.578235695028283,158079.64603111288,7.308312931443277,155749.7158020146,6.94327431323578,8.073452538171557,1.0,4,8
ratio_all_base_wide_rw1.25_cw1.00,all,base,wide,1.25,1.0,153419.78557291633,6.578235695028283,158079.64603111288,7.308312931443277,155749.7158020146,6.94327431323578,8.073452538171557,1.0,4,8
ratio_all_base_business_rw1.25_cw1.30,all,base,business,1.25,1.3,153419.78557291633,6.578235695028283,162305.2409079071,7.404942392267978,157862.51324041173,6.99158904364813,8.076150423641929,1.0,4,8
ratio_all_base_wide_rw1.25_cw1.30,all,base,wide,1.25,1.3,153419.78557291633,6.578235695028283,162305.2409079071,7.404942392267978,157862.51324041173,6.99158904364813,8.076150423641929,1.0,4,8
ratio_all_flex_business_rw1.25_cw1.10,all,flex,business,1.25,1.1,153419.78557291633,6.578235695028283,159030.37688309015,7.352741011141018,156225.08122800326,6.965488353084651,8.082615249195458,1.0,4,8
ratio_all_flex_wide_rw1.25_cw1.10,all,flex,wide,1.25,1.1,153419.78557291633,6.578235695028283,159030.37688309015,7.352741011141018,156225.08122800326,6.965488353084651,8.082615249195458,1.0,4,8
ratio_all_flex_business_rw1.25_cw1.05,all,flex,business,1.25,1.05,153419.78557291633,6.578235695028283,158528.78539488965,7.343223438009091,155974.285483903,6.960729566518687,8.083987482613859,1.0,4,8
ratio_all_flex_wide_rw1.25_cw1.05,all,flex,wide,1.25,1.05,153419.78557291633,6.578235695028283,158528.78539488965,7.343223438009091,155974.285483903,6.960729566518687,8.083987482613859,1.0,4,8
ratio_all_flex_business_rw1.25_cw1.15,all,flex,business,1.25,1.15,153419.78557291633,6.578235695028283,159840.41036802082,7.37270358915813,156630.09797046857,6.9754696420932065,8.085301845951806,1.0,4,8
ratio_all_flex_wide_rw1.25_cw1.15,all,flex,wide,1.25,1.15,153419.78557291633,6.578235695028283,159840.41036802082,7.37270358915813,156630.09797046857,6.9754696420932065,8.085301845951806,1.0,4,8
ratio_all_base_business_rw1.25_cw0.95,all,base,business,1.25,0.95,153419.78557291633,6.578235695028283,159333.6904978648,7.346410065574874,156376.73803539056,6.962322880301579,8.090457606420133,1.0,4,8
ratio_all_base_wide_rw1.25_cw0.95,all,base,wide,1.25,0.95,153419.78557291633,6.578235695028283,159333.6904978648,7.346410065574874,156376.73803539056,6.962322880301579,8.090457606420133,1.0,4,8
