feature,mean_abs_shap,mean_shap,std_shap,importance_pct
avg_active_discount_value,0.025093755,0.0024866033,0.06623122,25.75
month_cos,0.014448612,-0.0051278165,0.020906799,14.83
years_since_start,0.011019465,-0.0021563715,0.013897476,11.31
avg_discount_per_order,0.009079214,-0.0028160259,0.010244341,9.32
doy_cos,0.0058009163,0.0020769832,0.009679074,5.95
doy_sin,0.0056041623,0.000518197,0.0064522545,5.75
year,0.004849133,-0.00023079339,0.012162514,4.98
max_active_discount_value,0.0043150126,0.00056414434,0.011654613,4.43
discount_sum,0.0028240576,-0.0017871794,0.0036762801,2.9
active_percentage_promo_count,0.0027927258,0.0017886056,0.0028864255,2.87
day_of_year,0.002783179,-0.0021494038,0.004400041,2.86
week_of_year,0.0016922388,-0.00012159442,0.0025588572,1.74
month,0.0016104728,-0.00032141164,0.002407179,1.65
month_sin,0.0011997639,-0.0004417209,0.0032085557,1.23
avg_session_duration_sec,0.00089007156,4.8171034e-05,0.0012483725,0.91
unique_visitors,0.00047605907,-0.00011994088,0.000544399,0.49
Revenue_seasonal,0.00045220344,0.00012923691,0.0006195511,0.46
bounce_rate,0.00043308115,5.041307e-06,0.00080935145,0.44
paid_search_order_share,0.00039153322,-0.00010967744,0.0005375718,0.4
sessions,0.0003703903,-0.00022398285,0.0006710051,0.38
page_views,0.00036193916,-0.00021344077,0.0007704087,0.37
COGS_seasonal,0.0002096721,-0.00012860572,0.00025212372,0.22
delivered_order_count,0.00014887066,3.702098e-06,0.00036547563,0.15
gross_item_value,0.00011363438,-4.83241e-06,0.00019961335,0.12
quantity_sum,0.00011328927,-3.1730255e-05,0.00023577538,0.12
mobile_order_share,9.180643e-05,1.1289899e-05,0.00023244203,0.09
cancelled_order_count,6.691462e-05,2.4864967e-05,0.0001314325,0.07
order_count,6.676219e-05,-1.9705847e-05,0.00017054634,0.07
returned_order_count,6.624534e-05,1.0418888e-05,0.00015061919,0.07
day_of_week,3.9674094e-05,1.2091961e-07,0.00011659844,0.04
unique_customer_count,2.9952233e-05,6.2000568e-06,5.4820972e-05,0.03
dow_sin,7.5450075e-06,-3.570067e-07,1.9453231e-05,0.01
dow_cos,3.0235349e-06,-1.4519713e-07,8.469628e-06,0.0
is_weekend,0.0,0.0,0.0,0.0
quarter,0.0,0.0,0.0,0.0
is_month_start,0.0,0.0,0.0,0.0
is_month_end,0.0,0.0,0.0,0.0
active_promo_count,0.0,0.0,0.0,0.0
active_fixed_amount_promo_count,0.0,0.0,0.0,0.0
