feature,mean_abs_shap,mean_shap,std_shap,importance_pct
gross_item_value,936693.1,617901.0,1.2213341e+06,50.18
Revenue_seasonal,491445.44,-257574.61,631076.3,26.33
years_since_start,144983.2,42457.727,165452.95,7.77
COGS_seasonal,137879.69,-78540.93,170800.9,7.39
quantity_sum,63278.82,44038.26,74169.125,3.39
unique_customer_count,30986.11,15160.929,51130.17,1.66
avg_active_discount_value,12996.576,1185.3956,29821.953,0.7
year,10412.439,2105.342,12026.061,0.56
delivered_order_count,9416.314,6818.2847,20736.771,0.5
dow_sin,8583.738,482.97342,12218.959,0.46
order_count,6191.9033,3971.9443,8337.073,0.33
doy_cos,3978.8608,-765.90295,4076.75,0.21
day_of_week,2578.0366,114.910675,2694.2268,0.14
bounce_rate,1100.9321,56.205875,4259.3203,0.06
discount_sum,1071.628,305.4952,1928.7577,0.06
doy_sin,1007.60223,-153.08762,1865.9655,0.05
unique_visitors,856.4498,-206.17566,2307.388,0.05
cancelled_order_count,747.6589,402.42944,2618.8674,0.04
avg_discount_per_order,580.28253,49.619164,1339.7267,0.03
page_views,395.3387,48.141556,1115.5779,0.02
month_sin,306.97464,-18.225712,857.22046,0.02
returned_order_count,304.50128,209.0294,1526.1766,0.02
active_percentage_promo_count,212.47871,39.41416,367.62714,0.01
paid_search_order_share,175.7053,-7.7866926,460.1559,0.01
dow_cos,163.6033,4.2324653,600.667,0.01
avg_session_duration_sec,156.5551,12.494505,495.28784,0.01
month_cos,15.941905,7.098503,53.120403,0.0
quarter,0.0,0.0,0.0,0.0
day_of_year,0.0,0.0,0.0,0.0
week_of_year,0.0,0.0,0.0,0.0
month,0.0,0.0,0.0,0.0
is_weekend,0.0,0.0,0.0,0.0
is_month_end,0.0,0.0,0.0,0.0
is_month_start,0.0,0.0,0.0,0.0
mobile_order_share,0.0,0.0,0.0,0.0
sessions,0.0,0.0,0.0,0.0
active_promo_count,0.0,0.0,0.0,0.0
active_fixed_amount_promo_count,0.0,0.0,0.0,0.0
max_active_discount_value,0.0,0.0,0.0,0.0
