candidate,submission_file,scenario,fold,valid_days,scenario_weight,valid_start,valid_end,timesfm_family,timesfm_weight,Revenue_mae,Revenue_mape,COGS_mae,COGS_mape,avg_mae,avg_mape
timesfm_direct_raw_w0.00,submission_best_timesfm_tuned_direct_raw_w0.00.csv,548d_1fold,1,548,0.45,2021-07-02,2022-12-31,direct_raw,0.0,136827.7855109489,6.168266396333646,184819.60262773724,7.8754780803931625,160823.69406934307,7.021872238363404
timesfm_direct_raw_w0.02,submission_best_timesfm_tuned_direct_raw_w0.02.csv,548d_1fold,1,548,0.45,2021-07-02,2022-12-31,direct_raw,0.02,139436.04671532847,6.273390860556644,186191.7494890511,7.8682999371804785,162813.89810218976,7.070845398868562
timesfm_direct_raw_w0.05,submission_best_timesfm_tuned_direct_raw_w0.05.csv,548d_1fold,1,548,0.45,2021-07-02,2022-12-31,direct_raw,0.05,150851.8108211679,6.877368301301301,192395.2577372263,8.14368772079538,171623.5342791971,7.510528011048341
timesfm_direct_raw_w0.08,submission_best_timesfm_tuned_direct_raw_w0.08.csv,548d_1fold,1,548,0.45,2021-07-02,2022-12-31,direct_raw,0.08,170226.44812043794,7.9217200572869215,203664.6657481752,8.790455881037236,186945.55693430657,8.356087969162079
timesfm_direct_raw_w0.10,submission_best_timesfm_tuned_direct_raw_w0.10.csv,548d_1fold,1,548,0.45,2021-07-02,2022-12-31,direct_raw,0.1,186448.18222627736,8.798380551258429,212861.21060218976,9.3288574071182,199654.69641423356,9.063618979188314
timesfm_direct_raw_w0.15,submission_best_timesfm_tuned_direct_raw_w0.15.csv,548d_1fold,1,548,0.45,2021-07-02,2022-12-31,direct_raw,0.15,233298.48768248176,11.32373848907489,240461.04494525547,10.960994473180511,236879.76631386863,11.1423664811277
timesfm_direct_raw_w0.20,submission_best_timesfm_tuned_direct_raw_w0.20.csv,548d_1fold,1,548,0.45,2021-07-02,2022-12-31,direct_raw,0.2,286500.8285218978,14.17756226399391,273649.3956751825,12.932349915083819,280075.1120985402,13.554956089538864
timesfm_direct_log1p_w0.00,submission_best_timesfm_tuned_direct_log1p_w0.00.csv,548d_1fold,1,548,0.45,2021-07-02,2022-12-31,direct_log1p,0.0,136827.7855109489,6.168266396333646,184819.60262773724,7.8754780803931625,160823.69406934307,7.021872238363404
timesfm_direct_log1p_w0.02,submission_best_timesfm_tuned_direct_log1p_w0.02.csv,548d_1fold,1,548,0.45,2021-07-02,2022-12-31,direct_log1p,0.02,142444.9314051095,6.254816357325494,196476.7955109489,8.124445287289493,169460.8634580292,7.189630822307493
timesfm_direct_log1p_w0.05,submission_best_timesfm_tuned_direct_log1p_w0.05.csv,548d_1fold,1,548,0.45,2021-07-02,2022-12-31,direct_log1p,0.05,160802.41821167886,6.670449120325429,216664.72739051096,8.61670145686066,188733.5728010949,7.643575288593045
timesfm_direct_log1p_w0.08,submission_best_timesfm_tuned_direct_log1p_w0.08.csv,548d_1fold,1,548,0.45,2021-07-02,2022-12-31,direct_log1p,0.08,186563.8203649635,7.333887407003224,238655.35339416057,9.189987455478711,212609.58687956203,8.261937431240968
timesfm_direct_log1p_w0.10,submission_best_timesfm_tuned_direct_log1p_w0.10.csv,548d_1fold,1,548,0.45,2021-07-02,2022-12-31,direct_log1p,0.1,205670.56459854016,7.855470248526247,254216.08481751828,9.621932553193183,229943.32470802922,8.738701400859714
