iter	RMSE
0	0.5023340079
1	0.4995551883
2	0.4968183109
3	0.4939507846
4	0.4911605088
5	0.4881646569
6	0.4855661126
7	0.4828553455
8	0.4800875332
9	0.477359348
10	0.474934274
11	0.4723685473
12	0.4699618896
13	0.4675255765
14	0.4650124916
15	0.4624495885
16	0.459877955
17	0.4574572134
18	0.45514032
19	0.452553163
20	0.4500416902
21	0.4476489745
22	0.4454680338
23	0.4432240915
24	0.4410552055
25	0.4390042635
26	0.4370173784
27	0.4349580392
28	0.4328660196
29	0.430919818
30	0.4289162136
31	0.4269214519
32	0.4247927373
33	0.4226366136
34	0.4207978877
35	0.4187824601
36	0.416783072
37	0.4149211661
38	0.4129989619
39	0.4110298782
40	0.4090978344
41	0.4072874559
42	0.4053658346
43	0.4036604891
44	0.4017404129
45	0.3999378685
46	0.3981833866
47	0.3964251807
48	0.3946962037
49	0.3929365505
50	0.391280017
51	0.3896994988
52	0.3880484679
53	0.3864368602
54	0.3848364896
55	0.3832515819
56	0.3816359058
57	0.3801038796
58	0.3786232735
59	0.3771125284
60	0.3755506361
61	0.3741652303
62	0.3725887003
63	0.3709499186
64	0.3694078573
65	0.3677205368
66	0.3663041589
67	0.3649112822
68	0.3635635741
69	0.3621407241
70	0.3607683982
71	0.3594237969
72	0.3582589781
73	0.356998251
74	0.3554419608
75	0.3542690701
76	0.3529798923
77	0.3516088072
78	0.3503750845
79	0.3490701596
80	0.3478751815
81	0.3465919301
82	0.3453748714
83	0.3442168186
84	0.3430502988
85	0.3419742156
86	0.3407232829
87	0.3396169138
88	0.3384114552
89	0.3373013923
90	0.3361064992
91	0.3350809517
92	0.3337627599
93	0.3326551756
94	0.3315887916
95	0.3305389589
96	0.329531915
97	0.328442567
98	0.3272302725
99	0.3261607428
100	0.324939017
101	0.3238603297
102	0.3230190662
103	0.3220547988
104	0.321114657
105	0.3201033005
106	0.3192620809
107	0.3183070732
108	0.3173844922
109	0.3165123333
110	0.3155082232
111	0.3144538474
112	0.3134715747
113	0.3124159517
114	0.3115563753
115	0.3108243603
116	0.3099721639
117	0.3091517197
118	0.3082553287
119	0.3074748844
120	0.306576543
121	0.3057657556
122	0.3050892447
123	0.3043112626
124	0.3034845065
125	0.3027470994
126	0.3019653988
127	0.3011862851
128	0.3004305064
129	0.299507243
130	0.2987440706
131	0.2979692538
132	0.2972013398
133	0.2965063392
134	0.295656389
135	0.2947137706
136	0.2938833455
137	0.2932245573
138	0.2925707099
139	0.2918363317
140	0.2911346814
141	0.2905820586
142	0.2899686951
143	0.2892654095
144	0.2886141692
145	0.2878995348
146	0.2871269101
147	0.2864096256
148	0.2856054855
149	0.2849726686
150	0.2842949917
151	0.2837377762
152	0.2831025158
153	0.2824811225
154	0.2818835924
155	0.2812055776
156	0.2806693859
157	0.2800274523
158	0.2794294326
159	0.2788611377
160	0.2782570131
161	0.2776567164
162	0.2770728539
163	0.2764543391
164	0.2759641338
165	0.2754394545
166	0.274912834
167	0.2743545102
168	0.2737671977
169	0.2732519926
170	0.2727525989
171	0.2722847092
172	0.271782341
173	0.2712653118
174	0.2707024109
175	0.2702522902
176	0.2697101699
177	0.2693471213
178	0.2688337327
179	0.2682858764
180	0.2677522131
181	0.2673389827
182	0.2668661616
183	0.266241137
184	0.2658038545
185	0.265361401
186	0.2649308861
187	0.2644699995
188	0.2639645038
189	0.263511492
190	0.2631225086
191	0.2626184604
192	0.2621833814
193	0.2616352285
194	0.2611953752
195	0.260802088
196	0.2603600047
197	0.2599749764
198	0.25957457
199	0.2592223947
200	0.2586884569
201	0.2583643959
202	0.2579529452
203	0.2575354574
204	0.2571292975
205	0.2567101569
206	0.2562213669
207	0.2558807554
208	0.2555122517
209	0.2550393254
210	0.2546477731
211	0.2542475672
212	0.2537968783
213	0.2534881503
214	0.2530524028
215	0.2527027692
216	0.2524075287
217	0.2522607862
218	0.2519124671
219	0.2515229625
220	0.2511587306
221	0.2507922426
222	0.2505014876
223	0.2500759956
224	0.2496758085
225	0.2492997957
226	0.2489003334
227	0.2485240028
228	0.2481388672
229	0.2477782001
230	0.2474947207
231	0.2472531701
232	0.2468979095
233	0.2466199549
234	0.2461683038
235	0.2457401448
236	0.2455004853
237	0.2450829779
238	0.2446680848
239	0.2443248056
240	0.2439952058
241	0.2436674492
242	0.2433335427
243	0.2430737118
244	0.2427026111
245	0.2423418315
246	0.242021886
247	0.2416730456
248	0.241376372
249	0.2410858728
250	0.240781141
251	0.2404293458
252	0.2401482679
253	0.23985388
254	0.2395637668
255	0.2393050079
256	0.2389876158
257	0.238690345
258	0.2384415298
259	0.2381701926
260	0.2378976925
261	0.2376425588
262	0.2373927429
263	0.2371291185
264	0.2368626126
265	0.2365435368
266	0.2362881733
267	0.236046332
268	0.2357364671
269	0.235435843
270	0.2351543984
271	0.2348982991
272	0.2345948239
273	0.2343747315
274	0.2341590503
275	0.233935829
276	0.2337033999
277	0.2334316358
278	0.2331763743
279	0.232859594
280	0.2325839056
281	0.2323053135
282	0.2320624781
283	0.2318289887
284	0.2314906679
285	0.2311364557
286	0.2309124542
287	0.2307261163
288	0.2304529179
289	0.2302350332
290	0.2299934029
291	0.2298264009
292	0.2295954805
293	0.2294008254
294	0.2291349359
295	0.2288806275
296	0.2285930558
297	0.2283656875
298	0.2281856445
299	0.2279665283
300	0.227743046
301	0.2274504064
302	0.2272277734
303	0.227010951
304	0.2267712526
305	0.226544891
306	0.2262814292
307	0.2260788351
308	0.2258904655
309	0.2256541075
310	0.2254826181
311	0.2253136662
312	0.2250516925
313	0.2249002745
314	0.2247125865
315	0.2244697389
316	0.2243395514
317	0.2242330926
318	0.2240291228
319	0.2238056283
320	0.2235402004
321	0.2233364298
322	0.2230630632
323	0.2228645302
324	0.2227270217
325	0.2225187591
326	0.2223328057
327	0.222188803
328	0.2219185009
329	0.2217582429
330	0.2216088015
331	0.2214501725
332	0.2212691477
333	0.2211149139
334	0.220873445
335	0.220691024
336	0.2205310903
337	0.2202991395
338	0.2200913152
339	0.2198325571
340	0.2196375786
341	0.2194061004
342	0.2192071176
343	0.2190578274
344	0.2189080629
345	0.2186274824
346	0.2184903126
347	0.2182633948
348	0.2180074411
349	0.2178655842
350	0.2176981408
351	0.217521235
352	0.2173289309
353	0.2171442361
354	0.2169160809
355	0.2168036073
356	0.2166245419
357	0.2164139867
358	0.2162644671
359	0.2161342937
360	0.2159473568
361	0.2157068737
362	0.2155869832
363	0.2154335544
364	0.2152682051
365	0.215089833
366	0.2149406871
367	0.2147847006
368	0.2146479905
369	0.2145388872
370	0.2143425118
371	0.2141874015
372	0.2139857166
373	0.2137821201
374	0.2135550372
375	0.2133190862
376	0.2131277379
377	0.2130044498
378	0.2128641888
379	0.2126904594
380	0.2124538805
381	0.212277443
382	0.2121149148
383	0.2119831248
384	0.2117638425
385	0.2116455974
386	0.2115269695
387	0.2114470858
388	0.2112687821
389	0.2110970897
390	0.2110131308
391	0.2108769941
392	0.2106632884
393	0.2104927194
394	0.2103721492
395	0.2101955453
396	0.2099964532
397	0.2098633869
398	0.2097280118
399	0.2096245173
400	0.2095008103
401	0.2094143423
402	0.2093135622
403	0.2091632406
404	0.2090227801
405	0.2088567059
406	0.208741368
407	0.2086401157
408	0.2085576464
409	0.2083576444
410	0.2082117611
411	0.2081071297
412	0.2079332855
413	0.2078115716
414	0.2076768632
415	0.2075986162
416	0.2074329383
417	0.20727584
418	0.2071292658
419	0.2070288437
420	0.2068190872
421	0.2067136577
422	0.2065172352
423	0.2064452894
424	0.2062592471
425	0.206136436
426	0.2060625738
427	0.2059567886
428	0.2058246694
429	0.2056959216
430	0.2055984322
431	0.2055002134
432	0.2053164543
433	0.2051920488
434	0.2050469086
435	0.2048955709
436	0.2047336558
437	0.2045941584
438	0.2044986889
439	0.2043247645
440	0.2042070663
441	0.2040759883
442	0.2039377439
443	0.2037740911
444	0.2036583961
445	0.2035368748
446	0.2033622902
447	0.2032228431
448	0.2030910843
449	0.2029798864
450	0.2029067514
451	0.2027755301
452	0.2026017005
453	0.2024802666
454	0.2023653276
455	0.202253406
456	0.2020983525
457	0.2019665276
458	0.2018513544
459	0.2017403611
460	0.2015849672
461	0.2014055796
462	0.2013318158
463	0.2011916387
464	0.2010957076
465	0.201009822
466	0.2009074806
467	0.2007955666
468	0.2006772835
469	0.2006241509
470	0.2005483013
471	0.2004123066
472	0.2002690187
473	0.2001093405
474	0.1999694019
475	0.1998341057
476	0.1997123813
477	0.1996109475
478	0.1995453129
479	0.1994414641
480	0.1993500711
481	0.199231518
482	0.1991104945
483	0.1989560809
484	0.1988699441
485	0.198712915
486	0.1985822831
487	0.198496395
488	0.1983628648
489	0.1982244517
490	0.1980925354
491	0.1979948466
492	0.1978438949
493	0.1976655552
494	0.197568894
495	0.1974355999
496	0.1973158417
497	0.1972537033
498	0.1970987055
499	0.1970149905
500	0.1969020718
501	0.1967479893
502	0.1965679235
503	0.1964954251
