iter	Passed	Remaining
0	3	10012
1	5	8793
2	7	7208
3	10	7905
4	12	7665
5	14	7226
6	16	6863
7	17	6614
8	19	6435
9	20	6263
10	22	6106
11	25	6343
12	27	6347
13	29	6268
14	30	6168
15	32	6077
16	34	6016
17	35	5951
18	38	5984
19	39	5939
20	41	5877
21	43	5860
22	44	5810
23	46	5784
24	48	5763
25	50	5727
26	52	5727
27	54	5750
28	56	5775
29	58	5762
30	60	5749
31	61	5743
32	63	5713
33	65	5691
34	67	5712
35	69	5721
36	71	5721
37	72	5682
38	75	5736
39	77	5724
40	79	5716
41	80	5702
42	82	5679
43	84	5657
44	85	5632
45	87	5625
46	89	5621
47	91	5636
48	93	5618
49	94	5595
50	96	5591
51	98	5587
52	100	5571
53	102	5568
54	103	5560
55	105	5560
56	107	5575
57	109	5557
58	111	5555
59	113	5554
60	114	5537
61	116	5527
62	118	5512
63	120	5509
64	121	5504
65	123	5501
66	125	5499
67	127	5502
68	129	5494
69	131	5492
70	132	5478
71	134	5467
72	135	5428
73	137	5437
74	139	5446
75	141	5437
76	143	5436
77	145	5435
78	146	5426
79	148	5419
80	150	5411
81	151	5400
82	153	5390
83	155	5384
84	156	5383
85	158	5375
86	160	5362
87	161	5358
88	163	5350
89	165	5339
90	166	5327
91	169	5347
92	171	5347
93	172	5338
94	174	5329
95	175	5322
96	177	5312
97	179	5309
98	181	5312
99	183	5316
100	184	5309
101	186	5302
102	188	5298
103	190	5302
104	192	5297
105	193	5296
106	195	5293
107	197	5287
108	199	5285
109	200	5278
110	202	5270
111	204	5266
112	205	5259
113	207	5253
114	209	5247
115	210	5242
116	212	5234
117	214	5229
118	215	5222
119	217	5220
120	219	5212
121	220	5213
122	223	5216
123	224	5199
124	225	5194
125	227	5189
126	229	5187
127	230	5181
128	232	5175
129	233	5165
130	236	5175
131	237	5170
132	239	5165
133	241	5160
134	243	5162
135	244	5157
136	246	5146
137	248	5161
138	251	5167
139	252	5158
140	254	5165
141	256	5160
142	258	5155
143	259	5149
144	261	5144
145	262	5141
146	264	5137
147	266	5141
148	268	5138
149	270	5133
150	271	5130
151	273	5124
152	275	5120
153	276	5117
154	278	5114
155	280	5109
156	282	5113
157	283	5107
158	285	5106
159	287	5104
160	289	5100
161	290	5095
162	292	5096
163	294	5095
164	296	5090
165	298	5087
166	299	5086
167	301	5078
168	302	5072
169	304	5076
170	306	5073
171	308	5069
172	310	5066
173	311	5062
174	313	5058
175	315	5056
176	317	5056
177	318	5056
178	321	5062
179	323	5062
180	324	5059
181	326	5058
182	328	5057
183	330	5054
184	332	5052
185	333	5049
186	335	5045
187	337	5042
188	338	5037
189	340	5033
190	341	5029
191	343	5024
192	345	5023
193	346	5018
194	348	5014
195	350	5010
196	351	5007
197	353	5004
198	355	5002
199	357	5003
200	359	5008
201	361	5008
202	363	5009
