iter	RMSE
0	0.4720417072
1	0.4702813079
2	0.4688724612
3	0.4676062853
4	0.4662320354
5	0.4651830172
6	0.4641919297
7	0.4628755479
8	0.4617197532
9	0.4605887505
10	0.4585395333
11	0.4564578058
12	0.4545986648
13	0.453492831
14	0.452340026
15	0.4512568003
16	0.4502682554
17	0.4492927353
18	0.4482700263
19	0.4472220922
20	0.4454863419
21	0.4443798984
22	0.4435877523
23	0.4422066488
24	0.4412690851
25	0.4401268845
26	0.439191242
27	0.4380414405
28	0.4368858254
29	0.4358210222
30	0.4351023936
31	0.4341465473
32	0.4329447623
33	0.432154409
34	0.4314063282
35	0.4302052115
36	0.4293667843
37	0.4280786527
38	0.4270677153
39	0.4263220236
40	0.4258272268
41	0.424143888
42	0.4232700545
43	0.4221031032
44	0.4210139675
45	0.4202536814
46	0.4197906233
47	0.4191675125
48	0.4180359502
49	0.4170257705
50	0.41561995
51	0.4145257553
52	0.4134011644
53	0.4126020657
54	0.41116144
55	0.4103865989
56	0.4092703213
57	0.40873332
58	0.4073205823
59	0.4057633496
60	0.4047229678
61	0.4042581014
62	0.4032023795
63	0.4018531205
64	0.4007776523
65	0.400255338
66	0.3990183036
67	0.3983459539
68	0.3975931424
69	0.3965387766
70	0.3957050459
71	0.3949242257
72	0.3942193964
73	0.3933593961
74	0.3928046928
75	0.391991541
76	0.3914318374
77	0.390927875
78	0.3897473924
79	0.3890429784
80	0.387781731
81	0.3867934703
82	0.3862397623
83	0.3858184872
84	0.3851765812
85	0.3838821604
86	0.3834727189
87	0.3829731729
88	0.3815786177
89	0.3808673332
90	0.3804485524
91	0.3800542794
92	0.3791712683
93	0.3785040732
94	0.3779679614
95	0.3772493352
96	0.376486546
97	0.3755181595
98	0.3743381551
99	0.3738820192
100	0.3728400176
101	0.3720331395
102	0.3713498481
103	0.3702046783
104	0.3697612697
105	0.3687787563
106	0.3683077562
107	0.3672269622
108	0.366769011
109	0.3661966235
110	0.3653823412
111	0.3646472866
112	0.3640475881
113	0.363284123
114	0.3628634512
115	0.3622557604
116	0.3619636496
117	0.361084009
118	0.360131457
119	0.3593161135
120	0.3589170103
121	0.3584284562
122	0.3579255154
123	0.3575479234
124	0.3572089481
125	0.356818049
126	0.3561001774
127	0.3550163902
128	0.3541731889
129	0.3537402402
130	0.3531835482
131	0.3528054541
132	0.3521473328
133	0.3518275158
134	0.3514150771
135	0.350944557
136	0.3498471509
137	0.3493004579
138	0.3486388988
139	0.3478905752
140	0.3473618089
141	0.3470103211
142	0.3465552915
143	0.3459185121
144	0.3451609776
145	0.3443544377
146	0.3440368935
147	0.3435308251
148	0.3431214739
