iter	Passed	Remaining
0	1	3559
1	4	4170
2	7	4597
3	9	4436
4	13	4692
5	15	4509
6	16	4226
7	19	4290
8	21	4144
9	23	4097
10	25	4030
11	26	3900
12	28	3859
13	30	3907
14	33	3942
15	34	3846
16	36	3813
17	38	3790
18	40	3778
19	42	3711
20	44	3711
21	47	3800
22	49	3774
23	52	3816
24	54	3841
25	56	3829
26	58	3816
27	61	3846
28	63	3838
29	65	3800
30	67	3808
31	69	3816
32	71	3808
33	73	3806
34	75	3788
35	77	3760
36	79	3758
37	81	3724
38	82	3693
39	83	3659
40	84	3600
41	86	3574
42	88	3573
43	91	3600
44	91	3551
45	93	3548
46	96	3570
47	99	3590
48	101	3587
49	103	3582
50	105	3572
51	106	3551
52	108	3551
53	111	3560
54	113	3575
55	115	3555
56	117	3551
57	118	3527
58	120	3508
59	121	3489
60	122	3472
61	124	3467
62	127	3468
63	128	3461
64	130	3458
65	132	3457
66	134	3450
67	136	3433
68	137	3412
69	138	3398
70	141	3412
71	142	3383
72	144	3382
73	145	3354
74	147	3354
75	148	3340
76	150	3337
77	153	3350
78	155	3345
79	156	3334
80	158	3331
81	159	3317
82	161	3306
83	163	3306
84	164	3294
85	165	3270
86	166	3247
87	169	3257
88	169	3234
89	171	3224
90	174	3235
91	177	3255
92	178	3242
93	180	3244
94	182	3234
95	183	3233
96	185	3232
97	186	3211
98	188	3213
99	190	3203
100	192	3202
101	193	3190
102	194	3180
103	195	3162
104	196	3143
105	198	3133
106	199	3127
107	201	3128
108	203	3128
109	205	3122
110	206	3104
111	207	3096
112	209	3095
113	211	3102
114	214	3111
115	215	3094
116	216	3077
117	216	3060
118	218	3053
119	220	3054
120	221	3047
121	223	3038
122	224	3023
123	225	3014
124	226	3005
125	228	3003
126	229	2989
127	231	2990
128	232	2984
129	234	2986
130	236	2980
131	237	2973
132	239	2967
133	240	2962
134	242	2955
135	243	2943
136	245	2945
137	247	2946
138	247	2932
139	249	2925
140	251	2926
141	253	2926
142	255	2929
143	257	2936
144	259	2930
145	261	2931
146	262	2924
147	264	2918
148	267	2933
149	269	2934
150	272	2940
151	272	2928
152	274	2929
153	276	2922
154	278	2922
155	280	2928
156	282	2926
157	285	2933
158	286	2922
159	286	2911
160	288	2909
161	291	2917
162	293	2912
163	294	2911
164	297	2916
165	299	2916
166	300	2910
167	302	2911
168	304	2904
169	306	2903
170	306	2892
171	308	2892
172	310	2892
173	311	2881
174	313	2876
175	314	2871
176	316	2872
177	317	2865
178	319	2860
179	320	2856
180	322	2850
181	323	2844
182	324	2839
183	326	2833
184	326	2824
185	327	2814
186	328	2804
187	329	2799
188	331	2794
189	332	2789
190	334	2784
191	335	2778
192	337	2779
193	338	2774
194	339	2765
195	341	2761
196	342	2757
197	343	2753
198	345	2748
199	346	2744
200	348	2745
201	350	2741
202	351	2733
203	353	2737
204	354	2728
205	355	2720
206	356	2711
207	358	2712
