Date,Revenue,COGS,year,month,day,day_of_week,day_of_year,week_of_year,quarter,season,month_sin,month_cos,dow_sin,dow_cos,days_to_tet,days_since_tet,is_tet_week,days_since_payday,rev_lag_548,rev_lag_728,rev_lag_1092,rev_rmean_from728_7,rev_rstd_from728_7,rev_rmean_from728_30,rev_rstd_from728_30,season_avg_orders,season_avg_traffic,season_avg_bounce,dlinear_pred,log_revenue
2012-07-04,5123547.94,3982991.19,2012,7,4,2,186,27,3,2,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,365,365,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.77551020408163,28647.911111111112,0.004604666666666667,15.497996121190779,15.449357909240307
2012-07-05,2751773.45,2150580.23,2012,7,5,3,187,27,3,2,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,365,365,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.45833333333334,28383.522727272728,0.004387954545454546,15.497996121190779,14.827756516101003
2012-07-06,3054029.42,2517632.84,2012,7,6,4,188,27,3,2,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,365,365,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.77551020408163,28131.37777777778,0.0045386666666666665,15.497996121190779,14.931972725418376
2012-07-07,2667930.94,2108246.62,2012,7,7,5,189,27,3,2,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,365,365,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.9375,27904.545454545456,0.004498181818181818,15.497996121190779,14.796814175947144
2012-07-08,2360851.9,1808622.79,2012,7,8,6,190,27,3,2,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,365,365,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.125,28054.545454545456,0.004566363636363637,15.497996121190779,14.67453351001824
2012-07-09,3548386.46,2787841.68,2012,7,9,0,191,28,3,2,-0.4999999999999997,-0.8660254037844388,0.0,1.0,365,365,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.27083333333334,28006.545454545456,0.004291136363636364,15.497996121190779,15.082003821635174
2012-07-10,5234938.62,4044438.84,2012,7,10,1,192,28,3,2,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,365,365,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.25,28207.68181818182,0.0045295454545454545,15.497996121190779,15.47086586831386
2012-07-11,5582884.78,4338313.07,2012,7,11,2,193,28,3,2,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,365,365,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.77551020408163,28647.911111111112,0.004604666666666667,15.497996121190779,15.535216365548381
2012-07-12,5734632.02,4458811.27,2012,7,12,3,194,28,3,2,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,365,365,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.45833333333334,28383.522727272728,0.004387954545454546,15.497996121190779,15.562034316960265
2012-07-13,5309511.71,4143402.78,2012,7,13,4,195,28,3,2,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,365,365,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.77551020408163,28131.37777777778,0.0045386666666666665,15.497996121190779,15.485010620645566
2012-07-14,3820831.41,3075464.87,2012,7,14,5,196,28,3,2,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,365,365,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.9375,27904.545454545456,0.004498181818181818,15.497996121190779,15.15597886522114
2012-07-15,3948841.28,3154482.05,2012,7,15,6,197,28,3,2,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,365,365,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.125,28054.545454545456,0.004566363636363637,15.497996121190779,15.188933000246074
2012-07-16,3503801.49,2708219.59,2012,7,16,0,198,29,3,2,-0.4999999999999997,-0.8660254037844388,0.0,1.0,365,365,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.27083333333334,28006.545454545456,0.004291136363636364,15.497996121190779,15.069359362440608
