iter	RMSE
0	0.5851823255
1	0.5819457687
2	0.5783723569
3	0.5751264465
4	0.5718368323
5	0.5688034135
6	0.5658288233
7	0.5624949324
8	0.5594065925
9	0.5562373494
10	0.5530885897
11	0.5500061762
12	0.5469595387
13	0.5438170091
14	0.5411027764
15	0.5382812933
16	0.5353972675
17	0.5323335254
18	0.5293344038
19	0.5264754547
20	0.5238232218
21	0.5210194632
22	0.518301869
23	0.515743769
24	0.5131723601
25	0.510591417
26	0.5080490463
27	0.5054461909
28	0.5029399806
29	0.5003996601
30	0.4980595697
31	0.4956291695
32	0.4934417375
33	0.4912224956
34	0.4892330162
35	0.4868554398
36	0.4848508825
37	0.4826714657
38	0.4804531823
39	0.4783883092
40	0.4761633696
41	0.474046219
42	0.4719898763
43	0.4701405839
44	0.4678150566
45	0.4656973174
46	0.4636525059
47	0.4616467838
48	0.4596283813
49	0.4573973219
50	0.4554969515
51	0.4534753804
52	0.4514975056
53	0.4495464366
54	0.4475801528
55	0.445985923
56	0.444093696
57	0.4422600225
58	0.4404967899
59	0.438738528
60	0.4370181858
61	0.4350589759
62	0.4332142874
63	0.4314717469
64	0.4297992544
65	0.4281070805
66	0.4264291349
67	0.4247802021
68	0.423311181
69	0.4215507541
70	0.4199244011
71	0.4180971664
72	0.4165106491
73	0.4149013799
74	0.413441778
75	0.4120217162
76	0.4103793351
77	0.4088689347
78	0.4074934368
79	0.4060168916
80	0.4045513958
81	0.4031667104
82	0.4017247088
83	0.4003803033
84	0.3988769638
85	0.3975512919
86	0.3961609356
87	0.3947546192
88	0.3933117603
89	0.39186628
90	0.3907013342
91	0.3894069117
92	0.3881266071
93	0.3869504495
94	0.385757941
95	0.3845663711
96	0.3833525477
97	0.3822886689
98	0.3811641593
99	0.3799768375
100	0.3789279949
101	0.3777313866
102	0.3766020549
103	0.3753163594
104	0.3740821502
105	0.3728445415
106	0.3716027624
107	0.3705707918
108	0.3694062676
109	0.3684371231
110	0.3673662837
111	0.3664079932
112	0.3654350004
113	0.3644728265
114	0.363352382
115	0.3623132855
116	0.3613868295
117	0.3605108985
118	0.3595725
119	0.3586627183
120	0.3577579059
121	0.3569807507
122	0.3559685979
123	0.3550769976
124	0.3543220228
125	0.3534125233
126	0.352627084
127	0.3515967812
128	0.3507840909
129	0.349999104
130	0.3492348279
131	0.3484612473
132	0.3476462851
133	0.3467357455
134	0.3459813613
135	0.3451481494
136	0.3445205927
137	0.3436798836
138	0.3428257415
139	0.3418841315
140	0.3411260107
141	0.340425993
142	0.3394172316
143	0.3384955601
144	0.3377689657
145	0.3371388188
146	0.3364411883
147	0.3358065967
148	0.3350211002
149	0.3343526122
150	0.3335884565
151	0.3328244112
152	0.3320579086
153	0.331461322
154	0.3306993709
155	0.3301331156
156	0.3295800114
157	0.3289955452
158	0.3282663447
159	0.3275124528
160	0.3269326759
161	0.3264356928
162	0.32587914
163	0.3251619284
164	0.324462305
165	0.3238265552
166	0.3231046887
167	0.3225743707
168	0.3220216899
169	0.3213494211
170	0.3207408923
171	0.3201042743
172	0.3196156142
173	0.3190769183
174	0.3186682771
175	0.3181176311
176	0.317492161
177	0.3170218717
178	0.3164244477
179	0.3157786101
180	0.3152996705
181	0.3148788473
182	0.314319926
183	0.3137752415
184	0.3133288092
185	0.3129469389
186	0.3125066538
187	0.3121595057
188	0.3117087857
189	0.3112915181
190	0.3107447191
191	0.3102696113
192	0.3096999064
193	0.3093032212
194	0.3087457447
195	0.3081438684
196	0.3077805593
197	0.3073693587
198	0.3068629492
199	0.306518508
200	0.3061243996
201	0.3057406867
202	0.3052913778
203	0.3048103652
204	0.3044434361
205	0.3040568911
206	0.3035604887
207	0.3028888521
208	0.302413606
209	0.301870577
210	0.3015204281
211	0.3010944972
212	0.3006331211
213	0.3002274753
214	0.2998548519
215	0.2995257234
216	0.2991084223
217	0.2986869227
218	0.2981977695
219	0.2978084996
220	0.2975077299
221	0.2972099173
222	0.2967430538
223	0.2963638358
224	0.2959560629
225	0.2956405454
226	0.2953047711
227	0.2949894634
228	0.2945872251
229	0.2943203303
230	0.2939135212
231	0.2935615984
232	0.2931354267
233	0.2928343335
234	0.2925404553
235	0.2922195073
236	0.2918704046
237	0.2915110503
238	0.2911240632
239	0.2908063461
240	0.2905078286
241	0.2901620845
242	0.289779528
243	0.28950543
244	0.2892112542
245	0.288912309
246	0.2886224866
247	0.288311394
248	0.2880768981
249	0.2877148234
250	0.2874030406
251	0.2871312741
252	0.2868055576
253	0.2864471445
254	0.286156177
255	0.2858188293
256	0.2855860494
257	0.2853180813
258	0.2850028639
259	0.2847491179
260	0.2845043285
261	0.2842504805
262	0.2839576934
263	0.2837011067
264	0.2833828501
265	0.2831738242
266	0.2829063481
267	0.2826336739
268	0.282348116
269	0.2819823633
270	0.2817454628
271	0.2814927501
272	0.2812297964
273	0.2809834308
274	0.2807514733
275	0.2805199655
276	0.2802867649
277	0.28005253
278	0.279791744
279	0.2795435931
280	0.279221825
281	0.2789722402
282	0.2787470328
283	0.2785413363
284	0.278315695
285	0.2780552448
286	0.2778191874
287	0.2775936223
288	0.2773646975
289	0.2771463739
290	0.2769235083
291	0.2766254055
292	0.2764117363
293	0.2760336507
294	0.2758140725
295	0.2755981253
296	0.2753851843
297	0.2751721845
298	0.2748715822
299	0.2745273745
300	0.2743337708
301	0.2740737366
302	0.2738939747
303	0.273666177
304	0.2733898385
305	0.2732044457
306	0.2729926387
307	0.2727072367
308	0.2725129327
309	0.2722236318
310	0.2720636183
311	0.2718483801
312	0.2716692661
313	0.2714353734
314	0.2712831429
315	0.2709949954
316	0.2707817009
317	0.270600745
318	0.2703833728
319	0.2702248347
320	0.2700291117
321	0.2697907635
322	0.2696112005
323	0.2694018496
324	0.2691860798
325	0.2690202767
326	0.2687119801
327	0.2684981794
328	0.2683486701
329	0.2682196173
330	0.2680641843
331	0.2678390169
332	0.267537954
333	0.2673240581
334	0.2670422057
335	0.2668482457
336	0.2666148392
337	0.2664343406
338	0.2662940773
339	0.2661512405
340	0.2659462677
341	0.2657421635
342	0.2655622441
343	0.2653536943
344	0.2651964972
345	0.2650030976
346	0.264843609
347	0.2646308012
348	0.2644872438
349	0.2642447056
350	0.2639899461
351	0.263882554
352	0.2637226378
353	0.2635965544
354	0.2634141896
355	0.2632809891
356	0.2629653307
357	0.2628144183
358	0.2626344203
359	0.2624366358
360	0.2622205126
361	0.2620352515
362	0.2618636209
363	0.2616654803
364	0.2615109357
365	0.2613894766
366	0.2612263724
367	0.2610941013
368	0.2609406631
369	0.2607840716
370	0.2606783272
371	0.2604390693
372	0.2602695072
373	0.2600969867
374	0.2599066984
375	0.2597748033
376	0.2596283586
377	0.2593663027
378	0.2592489471
379	0.2591474503
380	0.2589987494
381	0.2587764314
382	0.2586169729
383	0.258501552
384	0.2583465562
385	0.2581747755
386	0.2580087836
387	0.2578843564
388	0.2577352624
389	0.2575881582
390	0.2574634538
391	0.2573049276
392	0.2571879226
393	0.2570619336
394	0.2569413677
395	0.2568110799
396	0.2566959441
397	0.2564379953
398	0.2563036238
399	0.2561575066
400	0.2560157335
401	0.2558962116
402	0.2558205975
403	0.2556528476
404	0.255546453
405	0.2553762722
406	0.2552279066
407	0.2550808682
408	0.2549594496
409	0.2548504296
410	0.2547446308
411	0.2545862497
412	0.2544829873
413	0.2542326401
414	0.254125667
415	0.2540214455
416	0.2538892598
417	0.253769606
418	0.2536506693
419	0.2535475717
420	0.25337991
421	0.2532915966
422	0.2531412355
423	0.2530119916
424	0.2528843607
425	0.2527352958
426	0.252620803
427	0.2524828828
428	0.2523428475
429	0.25223755
430	0.2521052497
431	0.2519925965
432	0.2518453479
433	0.2517509048
434	0.2516485656
435	0.2514836882
436	0.2513796296
437	0.251283079
438	0.2511201846
439	0.2510261137
440	0.2509565667
441	0.2508646391
442	0.2507534145
443	0.2506140708
444	0.2504435743
445	0.2503463233
446	0.2502113074
447	0.2500580918
448	0.2499281522
449	0.2498153152
450	0.2497138089
451	0.2496104316
452	0.24942836
453	0.2493333796
454	0.2491963244
455	0.249100122
456	0.2489858321
457	0.2488934322
458	0.2487955956
459	0.2486999871
460	0.2485528302
461	0.2484092349
462	0.2483094025
463	0.2482465952
464	0.2481052084
465	0.2480061474
466	0.2479259923
467	0.2477476211
468	0.2476286516
469	0.247526477
470	0.2473436455
471	0.2472049116
472	0.2471208813
473	0.2470307163
474	0.2468988176
475	0.2467632273
476	0.2466664703
477	0.2464696091
478	0.2463548875
479	0.2461988845
480	0.2461065861
481	0.2460061585
482	0.2459219023
483	0.2458255029
484	0.2456815509
485	0.2455625458
486	0.2454238386
487	0.2452759514
488	0.2452040755
489	0.2450975694
490	0.245003762
491	0.2449017757
492	0.2448005706
493	0.2446840526
494	0.2446207945
495	0.2445300518
496	0.2443595503
497	0.2442858185
498	0.2441471079
499	0.2440439625
500	0.2439579747
501	0.2438549369
502	0.2437802255
503	0.2437134998
504	0.2435653185
505	0.2434598843
506	0.2433748709
507	0.2432943679
508	0.2431457389
509	0.2430311961
510	0.242881654
511	0.2427791163
512	0.2425671549
513	0.2424620318
514	0.2423395183
515	0.242182586
516	0.2421214462
517	0.2420341931
518	0.2418786522
519	0.2417937472
520	0.2416374857
521	0.2415276922
522	0.2414279515
523	0.2413148388
524	0.2412269262
525	0.2411414265
526	0.2410751173
527	0.24098408
528	0.2409213398
529	0.2407677162
530	0.2406739154
531	0.2405686252
532	0.2404334598
533	0.240347381
534	0.2402255794
535	0.2401342043
536	0.240018548
537	0.2399082996
538	0.2398342082
539	0.2397475363
540	0.2396303991
541	0.2395680067
542	0.2394682966
543	0.2393576388
544	0.2391991216
545	0.239107665
546	0.2389944131
547	0.2389081689
548	0.2388321498
549	0.2386697581
550	0.2386089434
551	0.2385519282
552	0.2384070436
553	0.2383104059
554	0.2381881584
555	0.2380355932
556	0.2379703801
557	0.2379040083
558	0.2377990572
559	0.2377451984
560	0.2376112267
561	0.2375368006
562	0.2374580919
563	0.2373855231
564	0.2372900041
565	0.2372157914
566	0.237106091
567	0.2369695755
568	0.2368969294
569	0.2368352917
570	0.2367394858
571	0.2366912156
572	0.2366055289
573	0.2365235606
574	0.2364710069
575	0.2363718921
576	0.2362662194
577	0.2361156065
578	0.2360526964
579	0.2359351793
580	0.2358698818
581	0.2358121033
582	0.2357588885
583	0.2356860802
584	0.2355753371
585	0.2354707312
586	0.2354005071
587	0.2353199188
588	0.235241388
589	0.2351580637
590	0.2351195268
591	0.2350297193
592	0.2349660484
593	0.2348701197
594	0.2347690307
595	0.2347058445
596	0.2346620248
597	0.2346139971
598	0.2345500548
599	0.2344195595
600	0.23433059
601	0.2342586181
602	0.2341749425
603	0.2340972107
604	0.2339898747
605	0.2339298494
606	0.2338439944
607	0.2337131957
608	0.2336437618
609	0.2335522326
610	0.2334877534
611	0.2334365623
612	0.2333327266
613	0.2332354868
614	0.2331756631
615	0.2330612772
616	0.2330145353
617	0.2329224282
618	0.2328118646
619	0.2327102054
620	0.2326096635
621	0.2325371762
622	0.2324667168
623	0.2323911597
624	0.2323127904
625	0.2322376743
626	0.2321050226
627	0.2320400885
628	0.2319768133
629	0.2319189435
630	0.2318371517
631	0.2317655941
632	0.2316760051
633	0.2315985369
634	0.2314850115
635	0.2314239791
636	0.2313600726
637	0.2312869937
638	0.2312031122
639	0.2311605721
640	0.2310570348
641	0.2310000603
642	0.2309396745
643	0.2308986427
644	0.2308564145
645	0.2308097471
646	0.2307228486
647	0.2306375014
648	0.2305651446
649	0.2304952201
650	0.2304180168
651	0.2303546273
652	0.2302912498
653	0.2302352036
654	0.2301729031
655	0.2300655256
656	0.2299556477
657	0.2298671652
658	0.2297770332
659	0.2297218721
660	0.2296562978
661	0.2295645777
662	0.2294351983
663	0.229333273
664	0.2292616782
665	0.2291591618
666	0.2290843273
667	0.2290395011
668	0.2289607987
669	0.2289086751
670	0.2288186893
671	0.228759614
672	0.2286928939
673	0.2286139498
674	0.2285450812
675	0.2284898292
676	0.2284081444
677	0.2283340064
678	0.2282743791
679	0.2282011569
680	0.2281425475
681	0.2280616466
682	0.2279727275
683	0.2279259706
684	0.2278849329
685	0.2278423274
686	0.227756069
687	0.2277237669
688	0.2276660098
689	0.2276119058
690	0.2275297312
691	0.2274674524
692	0.2273987892
693	0.2273439937
694	0.2272440246
695	0.227218882
696	0.227141981
697	0.2270876869
698	0.2269749547
699	0.2268549138
700	0.2267923248
701	0.2267061835
702	0.2266492159
703	0.2265805395
704	0.2264858337
705	0.2264328276
706	0.2263830031
707	0.2263182677
708	0.2262428291
709	0.2262071012
710	0.226129719
711	0.2260585153
712	0.2259654971
713	0.2259091991
714	0.2258189929
715	0.2257424546
716	0.2256583127
717	0.2256000947
718	0.2255510014
719	0.2254850674
720	0.2254008091
721	0.225366123
722	0.225328525
723	0.225271783
724	0.225195922
725	0.225128836
726	0.2250545276
727	0.2250099982
728	0.2249590222
729	0.2248999897
730	0.2248064068
731	0.224752313
732	0.2246845558
733	0.2246383845
734	0.2245984956
735	0.2245595465
736	0.2244584616
737	0.2243969487
738	0.2243287705
739	0.224253852
740	0.224200532
741	0.2241045237
742	0.2240004466
743	0.2239459267
744	0.2238562642
745	0.2238091476
746	0.2237562512
747	0.223693386
748	0.2236225275
749	0.2235645784
750	0.2235258263
751	0.2234674711
752	0.223422105
753	0.2233487685
754	0.223276482
755	0.2231811102
756	0.2231174506
757	0.2230558135
758	0.2230006245
759	0.2229387459
760	0.2228848079
761	0.2228430923
762	0.2227829868
763	0.2227059428
764	0.222654859
765	0.2225777718
766	0.222538081
767	0.2224931139
768	0.2224420133
769	0.222389024
770	0.222326145
771	0.2222630557
772	0.222230272
773	0.2221688107
774	0.2221177076
775	0.2220179882
776	0.2219141711
777	0.2218706078
778	0.2217905595
779	0.2217682128
780	0.2217139393
781	0.2216391503
782	0.2215957801
783	0.2215312876
784	0.2214505286
785	0.2214081683
786	0.2213403055
787	0.2213029891
788	0.2212530571
789	0.2211835597
790	0.2211206121
791	0.2210527914
792	0.2209507021
793	0.2209004883
794	0.2208610154
795	0.2208244452
796	0.2207435927
797	0.2207062899
798	0.2206338464
799	0.2205808412
800	0.2205413161
801	0.2204978618
802	0.2204058787
803	0.2203454144
804	0.2202798783
805	0.220207084
806	0.2201637636
807	0.220101344
808	0.2200268266
809	0.2199804278
810	0.2199039699
811	0.2198180875
812	0.2197672577
813	0.2197348947
814	0.2196883351
815	0.2196299407
816	0.219576584
817	0.219481308
818	0.2194158602
819	0.2193644075
820	0.2193194595
821	0.2192610402
822	0.219210349
823	0.2191775374
824	0.2191055524
825	0.2190608751
826	0.2190128054
827	0.2189502004
828	0.2189020496
829	0.2188571683
830	0.2187970828
831	0.2187124605
832	0.2186604697
833	0.2186070585
834	0.2185625531
835	0.2185237986
836	0.2184632733
837	0.2183848634
838	0.218337138
839	0.2182727713
840	0.2182067822
841	0.2181642481
842	0.2180922905
843	0.2180179035
844	0.2179681107
845	0.2178992331
846	0.2178604315
847	0.2178072884
848	0.2177620954
849	0.2177191391
850	0.2176215919
851	0.2175407221
852	0.2174747203
853	0.2173832015
854	0.2173251117
855	0.2172365523
856	0.2171847157
857	0.217122017
858	0.2170817055
859	0.217026481
860	0.2169926817
861	0.2169285852
862	0.2168624073
863	0.2168037379
864	0.2167223483
865	0.2166574851
866	0.2165988811
867	0.2165519799
868	0.2165016746
869	0.2164626307
870	0.2164243468
871	0.2163817729
872	0.2163163212
873	0.2162240826
874	0.2161601868
875	0.2161129211
876	0.2160427043
877	0.2159809751
878	0.2159223419
879	0.2158619656
880	0.2157712646
881	0.2157198167
882	0.2156846055
883	0.2156154592
884	0.2155647195
885	0.2155046598
886	0.2154164185
887	0.2153414663
888	0.2152906282
889	0.215208749
890	0.2151613428
891	0.2151068787
892	0.2150379073
893	0.2149934244
894	0.2149169364
895	0.2148645789
896	0.2148192492
897	0.2147661746
898	0.2147156513
899	0.2146686932
900	0.2146279094
901	0.2145732877
902	0.21452443
903	0.2144808465
904	0.2144280036
905	0.2143885217
906	0.21433111
907	0.2142718697
908	0.21420138
909	0.214146667
910	0.2140871386
911	0.214060434
912	0.2140175494
913	0.2139728791
914	0.2139085208
915	0.213874126
916	0.2138266524
917	0.2137722301
918	0.2137291094
919	0.2136835444
920	0.2135829641
921	0.2135073112
922	0.2134428417
923	0.2133982581
924	0.2133263959
925	0.2132734251
926	0.2132260775
927	0.2131741519
928	0.2131179795
929	0.2130282198
930	0.2130053634
931	0.2129443921
932	0.2129087837
933	0.2128461602
934	0.2128167705
935	0.2127591803
936	0.2127052464
937	0.2126671315
938	0.2125861449
939	0.2124973107
940	0.2124457979
941	0.2123815602
942	0.212344541
943	0.212289056
944	0.2122283485
945	0.2121873196
946	0.2121423379
947	0.2121176369
948	0.2120724335
949	0.2120328682
950	0.2119761102
951	0.2119315804
952	0.2118910401
953	0.2118389954
954	0.2117557585
955	0.2117080312
956	0.2116720033
957	0.2116077747
958	0.211560416
959	0.2115194146
960	0.2114676798
961	0.2114145913
962	0.2113878587
963	0.2113204903
964	0.2112775614
965	0.2112175355
966	0.2111589228
967	0.2110885907
968	0.2110417678
969	0.2109934917
970	0.2109402587
971	0.2108894549
972	0.210847287
973	0.2108178306
974	0.210782397
975	0.2107303999
976	0.2106952545
977	0.2106393978
978	0.2105980758
979	0.2105448426
980	0.2104957158
981	0.2104556947
982	0.210423869
983	0.2103801762
984	0.2103350631
985	0.2102796743
986	0.2102118016
987	0.2101457521
988	0.2101048187
989	0.2100282725
990	0.2099902267
991	0.2099498776
992	0.209903279
993	0.209849019
994	0.2098068083
995	0.2097498009
996	0.2097074329
997	0.2096296393
998	0.2095971236
999	0.2095502782
1000	0.2094844756
1001	0.209446633
1002	0.2093945337
1003	0.2093667726
1004	0.2093124996
1005	0.2092511453
1006	0.2092038913
1007	0.2091610792
1008	0.2091101
1009	0.2090428539
1010	0.2089926571
1011	0.2089514014
1012	0.2089081126
1013	0.2088545653
1014	0.2087891982
1015	0.2087195517
1016	0.2086461298
1017	0.2086016484
1018	0.2085447017
1019	0.2084768654
1020	0.2084236259
1021	0.2083735287
1022	0.2083261657
1023	0.2082376906
1024	0.2081982165
1025	0.208156966
1026	0.2081129406
1027	0.2080657304
1028	0.2080288546
1029	0.2079598519
1030	0.2079179463
1031	0.2078783532
1032	0.2078438897
1033	0.2077778581
1034	0.2077050489
1035	0.2076665857
1036	0.2076146569
1037	0.2075207972
1038	0.2074660073
1039	0.2074339228
1040	0.2073912917
1041	0.2073473398
1042	0.2072954297
1043	0.2072300843
1044	0.2071905011
1045	0.2071484607
1046	0.207088166
1047	0.2070450926
1048	0.2070093166
1049	0.2069421152
1050	0.2068992174
1051	0.2068621343
1052	0.2068099418
1053	0.2067571596
1054	0.2066946113
1055	0.206639671
1056	0.2066164713
1057	0.2065722397
1058	0.2065422011
1059	0.2065123706
1060	0.2064683403
1061	0.2064229324
1062	0.2063843578
1063	0.2063434696
1064	0.2062873391
1065	0.2062552933
1066	0.2061794437
1067	0.2061403242
1068	0.2061142132
1069	0.2060625672
