iter	Passed	Remaining
0	2	6961
1	5	7781
2	8	8346
3	11	8267
4	14	8784
5	17	8979
6	21	9210
7	24	9152
8	27	9294
9	31	9408
10	35	9527
11	38	9554
12	42	9719
13	45	9802
14	48	9645
15	51	9584
16	55	9673
17	58	9705
18	62	9765
19	65	9790
20	69	9812
21	70	9581
22	74	9635
23	77	9571
24	79	9514
25	82	9406
26	85	9361
27	87	9330
28	90	9318
29	93	9277
30	95	9147
31	98	9178
32	101	9154
33	104	9139
34	107	9136
35	111	9163
36	114	9151
37	116	9092
38	119	9059
39	122	9049
40	126	9104
41	128	9037
42	131	9045
43	134	9066
44	138	9113
45	141	9098
46	144	9094
47	147	9043
48	150	9035
49	152	8988
50	155	8983
51	157	8924
52	159	8887
53	162	8875
54	166	8905
55	168	8863
56	171	8853
57	173	8779
58	174	8723
59	178	8736
60	181	8766
61	184	8724
62	185	8668
63	187	8609
64	190	8583
65	192	8550
66	195	8548
67	197	8497
68	200	8506
69	203	8497
70	206	8499
71	208	8488
72	212	8514
73	214	8486
74	218	8506
75	220	8498
76	224	8514
77	226	8488
78	229	8500
79	231	8449
80	235	8470
81	237	8459
82	241	8489
83	244	8501
84	248	8509
85	249	8466
86	252	8447
87	254	8420
88	257	8416
89	259	8386
90	262	8389
91	265	8381
92	268	8378
93	269	8334
94	273	8352
95	276	8367
96	278	8349
97	281	8344
98	284	8326
99	287	8323
100	290	8325
101	292	8304
102	295	8320
103	297	8296
104	299	8266
105	302	8266
106	305	8250
107	308	8249
108	310	8223
109	312	8221
110	316	8229
111	318	8209
112	321	8210
113	323	8191
114	326	8188
115	327	8153
116	331	8166
117	334	8163
118	337	8165
119	340	8162
120	342	8156
121	345	8153
122	347	8138
123	349	8110
124	352	8112
125	353	8072
126	356	8057
127	358	8042
128	360	8028
129	362	8009
130	364	7986
131	368	7999
132	371	8001
133	373	7994
134	375	7973
135	377	7958
136	380	7961
137	382	7935
138	386	7946
139	388	7940
140	391	7943
141	393	7929
142	397	7933
143	398	7908
144	402	7916
145	404	7904
146	407	7907
147	409	7883
148	410	7863
149	411	7827
150	415	7838
151	418	7838
152	420	7832
153	423	7820
154	426	7820
155	428	7820
156	432	7822
157	434	7822
158	437	7823
159	440	7821
160	443	7824
161	446	7817
162	449	7820
163	452	7827
164	455	7829
165	458	7828
166	461	7828
167	464	7826
168	467	7828
169	470	7837
170	474	7842
171	476	7842
172	480	7845
173	482	7832
174	485	7844
175	488	7841
176	492	7853
177	495	7862
178	499	7874
179	501	7854
180	505	7867
181	508	7866
182	510	7857
183	513	7864
184	517	7876
185	520	7874
186	522	7867
187	525	7866
188	529	7876
189	533	7885
190	536	7896
191	539	7895
192	543	7898
193	545	7894
194	549	7898
195	552	7904
196	555	7903
197	558	7910
198	561	7909
199	565	7917
200	569	7927
201	572	7934
202	575	7927
203	577	7916
204	581	7924
205	584	7922
206	587	7921
207	589	7915
208	593	7923
209	596	7926
210	599	7918
211	601	7906
212	604	7912
213	608	7917
214	612	7927
215	614	7924
216	618	7929
217	620	7924
218	623	7921
219	626	7919
220	629	7912
221	632	7915
222	635	7914
223	638	7918
224	642	7923
225	644	7913
226	647	7906
227	649	7897
228	653	7903
229	655	7898
230	658	7898
231	661	7886
232	664	7893
233	668	7896
234	671	7897
235	674	7900
236	677	7899
237	680	7895
238	683	7894
239	685	7884
240	688	7883
241	691	7880
242	694	7884
243	697	7875
244	700	7876
245	702	7867
246	705	7866
247	708	7864
248	712	7870
249	714	7854
250	716	7851
251	719	7846
252	722	7843
253	725	7847
254	728	7845
255	732	7848
256	735	7847
257	738	7844
258	741	7849
259	744	7847
260	747	7846
261	751	7850
262	754	7856
263	758	7862
264	761	7863
265	765	7863
266	767	7859
267	770	7858
268	774	7862
269	778	7867
270	780	7857
271	783	7854
272	785	7845
273	788	7843
274	790	7834
275	793	7833
276	797	7835
277	800	7839
278	804	7842
279	807	7846
280	811	7849
281	814	7853
282	817	7850
283	820	7849
284	823	7841
285	826	7845
286	830	7846
287	833	7850
288	837	7852
289	839	7844
290	842	7841
291	845	7843
292	848	7840
293	851	7839
294	855	7842
295	858	7840
296	860	7831
297	863	7830
298	866	7826
299	869	7825
300	871	7815
301	874	7813
302	878	7815
303	881	7818
304	884	7815
305	888	7818
306	890	7811
307	893	7809
308	895	7802
309	899	7806
310	903	7808
311	906	7807
312	909	7809
313	912	7807
314	915	7804
315	919	7807
316	922	7805
317	926	7811
318	929	7813
319	932	7807
320	935	7808
321	939	7811
322	941	7806
323	945	7811
324	948	7806
325	951	7805
326	953	7797
327	957	7798
328	959	7791
329	962	7789
330	964	7776
331	967	7777
332	970	7774
333	974	7774
334	977	7777
335	979	7769
336	983	7772
337	986	7769
338	989	7767
339	992	7764
340	996	7766
341	998	7757
342	1001	7760
343	1005	7760
344	1008	7758
345	1011	7755
346	1014	7753
347	1017	7755
348	1021	7757
349	1023	7749
350	1027	7751
351	1029	7748
352	1033	7751
353	1037	7751
354	1040	7753
355	1043	7750
356	1046	7750
357	1049	7742
358	1053	7747
359	1055	7742
360	1058	7741
361	1061	7737
362	1064	7735
363	1067	7728
364	1070	7727
365	1073	7723
366	1076	7720
367	1078	7712
368	1081	7710
369	1084	7710
370	1087	7706
371	1089	7695
372	1092	7693
373	1095	7690
374	1098	7687
375	1100	7678
376	1103	7676
377	1106	7672
378	1109	7673
379	1112	7670
380	1114	7663
381	1117	7656
382	1120	7657
383	1122	7649
384	1125	7647
385	1128	7644
386	1131	7641
387	1135	7642
388	1137	7635
389	1140	7634
390	1143	7631
391	1146	7629
392	1149	7626
393	1152	7624
394	1155	7617
395	1158	7615
396	1160	7610
397	1163	7608
398	1166	7601
399	1169	7603
400	1172	7596
401	1174	7591
402	1177	7587
403	1180	7588
404	1183	7584
405	1187	7586
406	1190	7582
407	1193	7584
408	1196	7579
409	1199	7576
410	1202	7576
411	1205	7569
412	1207	7565
413	1210	7558
414	1212	7552
415	1216	7553
416	1218	7546
417	1221	7547
418	1224	7540
419	1227	7542
420	1230	7539
421	1233	7536
422	1236	7532
423	1239	7529
424	1242	7530
425	1245	7528
426	1248	7525
427	1251	7523
428	1254	7515
429	1256	7510
430	1258	7500
431	1260	7494
432	1263	7491
433	1267	7492
434	1269	7484
435	1272	7481
436	1275	7478
437	1277	7472
438	1280	7469
439	1282	7464
440	1286	7464
441	1289	7463
442	1292	7459
443	1294	7453
444	1298	7453
445	1300	7448
446	1304	7448
447	1307	7446
448	1310	7447
449	1313	7442
450	1316	7441
451	1320	7442
452	1323	7441
453	1327	7441
454	1329	7435
455	1332	7435
456	1335	7431
457	1338	7429
458	1341	7425
459	1344	7423
460	1347	7419
461	1350	7416
462	1353	7416
463	1356	7413
464	1359	7413
465	1363	7414
466	1366	7411
467	1369	7409
468	1371	7403
469	1374	7400
470	1376	7393
471	1380	7393
472	1383	7393
473	1387	7394
474	1390	7390
475	1393	7389
476	1396	7388
477	1399	7385
478	1402	7379
479	1405	7379
480	1408	7375
481	1411	7375
482	1413	7365
483	1416	7363
484	1418	7357
485	1421	7353
486	1423	7347
487	1427	7347
488	1429	7341
489	1432	7339
490	1435	7336
491	1438	7334
492	1440	7327
493	1443	7324
494	1446	7320
495	1450	7320
496	1451	7311
497	1454	7306
498	1456	7299
499	1459	7297
500	1462	7296
501	1465	7294
502	1468	7291
503	1472	7292
504	1475	7291
505	1479	7291
506	1481	7285
507	1485	7286
508	1488	7284
509	1491	7282
510	1495	7282
511	1498	7280
512	1501	7280
513	1504	7277
514	1507	7273
515	1509	7268
516	1512	7264
517	1516	7264
518	1518	7261
519	1521	7258
520	1525	7257
521	1528	7255
522	1530	7248
523	1534	7249
524	1537	7249
525	1541	7249
526	1544	7246
527	1547	7244
528	1550	7244
529	1553	7239
530	1556	7235
531	1559	7233
532	1562	7230
533	1565	7229
534	1568	7229
535	1572	7229
536	1574	7223
537	1577	7221
538	1580	7218
539	1583	7215
540	1586	7212
541	1589	7209
542	1592	7206
543	1596	7207
544	1599	7203
545	1602	7200
546	1605	7199
547	1608	7197
548	1610	7191
549	1613	7188
550	1617	7188
551	1620	7185
552	1622	7179
553	1626	7179
554	1629	7178
555	1633	7178
556	1636	7178
557	1640	7178
558	1643	7175
559	1646	7174
560	1650	7174
561	1653	7173
562	1657	7172
563	1660	7173
564	1663	7170
565	1667	7170
566	1670	7169
567	1673	7167
568	1677	7166
569	1680	7163
570	1683	7160
571	1686	7159
572	1689	7155
573	1692	7155
574	1695	7151
575	1698	7148
576	1701	7145
577	1705	7145
578	1708	7144
579	1711	7142
580	1714	7138
581	1718	7138
582	1721	7135
583	1723	7130
584	1727	7129
585	1729	7124
586	1731	7116
587	1734	7114
588	1737	7111
589	1739	7106
590	1743	7105
591	1746	7102
592	1747	7094
593	1750	7089
594	1753	7088
595	1756	7086
596	1759	7080
597	1762	7078
598	1765	7075
599	1768	7074
600	1771	7070
601	1774	7069
602	1778	7069
603	1781	7068
604	1784	7065
605	1787	7063
606	1790	7057
607	1792	7052
608	1794	7047
609	1798	7046
610	1801	7042
611	1804	7042
612	1807	7039
613	1810	7036
614	1813	7032
615	1816	7030
616	1819	7027
617	1823	7027
618	1825	7021
619	1828	7018
620	1831	7016
621	1834	7013
622	1837	7010
623	1840	7008
624	1843	7006
625	1847	7006
626	1850	7002
627	1853	6999
628	1856	6996
629	1858	6991
630	1861	6990
631	1865	6990
632	1867	6984
633	1870	6979
634	1873	6975
635	1876	6975
636	1879	6972
637	1883	6971
638	1885	6965
639	1887	6960
640	1891	6960
641	1894	6957
642	1896	6951
643	1898	6946
644	1901	6941
645	1903	6936
646	1906	6933
647	1909	6930
648	1912	6927
649	1915	6924
650	1918	6921
651	1921	6918
652	1923	6913
653	1925	6908
654	1928	6904
655	1930	6897
656	1933	6894
657	1935	6889
658	1937	6884
659	1940	6878
660	1943	6875
661	1945	6871
662	1948	6867
663	1951	6864
664	1954	6861
665	1957	6858
666	1959	6854
667	1961	6846
668	1963	6842
669	1966	6837
670	1969	6834
671	1971	6829
672	1974	6826
673	1975	6818
674	1978	6815
675	1981	6812
676	1984	6810
677	1987	6806
678	1990	6803
679	1992	6798
680	1996	6797
681	1997	6789
682	2000	6786
683	2003	6783
684	2005	6779
685	2009	6779
686	2012	6776
687	2014	6769
688	2016	6764
689	2020	6764
690	2022	6759
691	2026	6758
692	2029	6757
693	2033	6756
694	2036	6754
695	2039	6750
696	2042	6749
697	2045	6746
698	2048	6743
699	2051	6740
700	2054	6737
701	2057	6735
702	2060	6733
703	2063	6729
704	2066	6727
705	2069	6724
706	2072	6721
707	2075	6719
708	2079	6719
709	2081	6713
710	2085	6713
711	2088	6710
712	2091	6709
713	2095	6707
714	2098	6704
715	2100	6701
716	2104	6701
717	2108	6700
718	2110	6696
719	2113	6693
720	2117	6693
721	2121	6692
722	2125	6692
723	2128	6689
724	2132	6690
725	2134	6686
726	2137	6684
727	2140	6681
728	2144	6680
729	2148	6679
730	2151	6676
731	2153	6673
732	2157	6673
733	2160	6670
734	2163	6668
735	2167	6666
736	2170	6666
737	2173	6662
738	2177	6661
739	2180	6659
740	2184	6658
741	2187	6655
742	2190	6653
743	2193	6650
744	2196	6649
745	2199	6644
746	2202	6643
747	2205	6640
748	2208	6637
749	2211	6635
750	2215	6633
751	2218	6632
752	2222	6630
753	2225	6628
754	2228	6626
755	2231	6624
756	2235	6623
757	2238	6620
758	2241	6619
759	2245	6617
760	2248	6616
761	2251	6613
762	2254	6610
763	2256	6605
764	2260	6604
765	2263	6601
766	2267	6600
767	2270	6599
768	2274	6599
769	2277	6596
770	2280	6593
771	2283	6590
772	2286	6587
773	2289	6585
774	2293	6584
775	2296	6580
776	2299	6579
777	2303	6577
778	2306	6576
779	2309	6571
780	2312	6570
